No.;Stock Code VDC;Stock Code VDC Claim;Picture;Item Description;Mnemonic;Part Number;Type of Item;Supplier;Suupplier Address;UOI; Price Damage Core ; Price Product  Genuine ; Price Total ;Time Guarantee;Claim Methode;JENIS SC
548;1990324;;;SCREWDRIVER;HEYCO;HY-00050310883;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
549;1990332;;;SCREWDRIVER;HEYCO;HY-00050310983;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
550;1975721;;;HEX HEAD WRENCH FOR SOCKET SCREW 17MM;HEYCO;HY-01340017030;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
551;1997030;;;OIL CAN 300 CC;HEYCO;1783030020;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
552;1972207;;;SOCKET;HEYCO;HY-00050602183;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
553;1984293;;;"SOCKET WRENCH 3/8 X 6""";HEYCO;40600683;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
554;1984319;;;"SOCKET WRENCH 3/8 X 7""";HEYCO;40600783;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
555;1972397;;;SOCKET WRENCH;HEYCO;HY-00100602480;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
556;1984335;;;"SOCKET WRENCH 3/8 X 8""";HEYCO;40600883;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
557;1984343;;;"SOCKET WRENCH 3/8 X 9""";HEYCO;40600983;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
558;1984368;;;SOCKET;HEYCO;HY-00040601083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
559;1984384;;;"SOCKET WRENCH 3/8 X 11""";HEYCO;40601183;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
560;1984392;;;SOCKET;HEYCO;HY-00040601283;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
561;1984418;;;"SOCKET WRENCH 3/8"" X 13""";HEYCO;40601383;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
562;1997253;;;SOCKET WRENC 1/2 INC HEXAGONAL 17 MM;HEYCO;50191782;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
563;1984426;;;SOCKET;HEYCO;HY-00040601483;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
564;1984434;;;"SOCKET WRENCH 3/8"" X 15""";HEYCO;HY-00040601583;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
565;1984442;;;"SOCKET WRENCH 3/8"" X 16""";HEYCO;40601683;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
566;1984467;;;SOCKET;HEYCO;HY-00040601783;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
567;1984475;;;SOCKET;HEYCO;40601883;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
568;1984491;;;SOCKET;HEYCO;HY-00040601983;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
569;1984509;;;"SOCKET WRENCH 3/8"" X 20""";HEYCO;40602083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
570;1984517;;;"SOCKET WRENCH 3/8"" X 21""";HEYCO;40602183;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
571;1987627;;;L KEY;HEYCO;HY-01341004030;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
572;1997287;;;SOCKET WRENCH 1/2 INC HEXAGONAL 6 MM;HEYCO;50600683;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
573;1997337;;;ALLEN KEY 24 MM;HEYCO;HY-01340024030;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
574;1997378;;;EXTENSION SOCKET 1 INCH;HEYCO;HY-06601001436;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
575;1984525;;;SOCKET;HEYCO;40602283;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
576;1984541;;;"CONVERTER 3/4"" - 1/2""";HEYCO;HY-06501002036;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
577;1984558;;;"EXTENSION BAR 1"" X 330MM";HEYCO;HY-06601001536;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
578;1984566;;;SCREW SOCKET SET 1/2 (5-17);HEYCO;HY-00050550283;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
579;1997394;;;TUBULAR HANDLE UKURAN 32MM;HEYCO;HY-00845000160;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
580;1997402;;;SOCKET 3/4 INCHX 36 MM;HEYCO;HY-00100603680;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
581;1997410;;;SOCKET 3/4 INCHX 41 MM;HEYCO;100604180;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
582;1997428;;;SOCKET SET 1/2 INCH;HEYCO;HY-00050780083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
583;1972702;;;SLOGGING RING WRENCH;HEYCO;HY-00820003020;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
584;1972710;;;SLOGGING RING WRENCH;HEYCO;HY-00820005020;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
585;1974708;;;SCREWDRIVER;HEYCO;HY-00050580083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
586;1989490;;;SLOGGING WRENCH;HEYCO;HY-08200005520;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
587;1992684;;;IMPACT SOCKET SEGI 6;HEYCO;HY-03800001236;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
588;1986447;;;CIRCLIP PLIERS, STRAIGHT 300 mm LPP/CPD;HEYCO;HY-01250030087;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
589;1986454;;;CIRCLIP PLIERS, STRAIGHT 310 mm LTP/CPD;HEYCO;HY-01255031087;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
590;1988104;;;"CONVERTER 1"" TO 3/4""";HEYCO;HY-00105140080;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
591;1988112;;;"SOCKET 1""x36 mm";HEYCO;HY-00105003680;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
592;1988120;;;TORQUE WRENCHES VARITORQUE;HEYCO;HY-00796000080;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
593;1988138;;;SLOGGING OPEN JAW WRENCHES;HEYCO;810002420;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
594;1988146;;;SLOGGING OPEN JAW WRENCHES;HEYCO;810002720;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
595;1988153;;;SLOGGING OPEN JAW WRENCHES;HEYCO;HY-00810003020;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
596;1988161;;;SLOGGING OPEN JAW WRENCHES;HEYCO;810003220;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
597;1988179;;;SLOGGING OPEN JAW WRENCHES;HEYCO;HY-00810003620;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
598;1988187;;;SLOGGING OPEN JAW WRENCHES;HEYCO;810003820;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
599;1988195;;;SLOGGING OPEN JAW WRENCHES;HEYCO;HY-00810004120;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
600;1988203;;;SLOGGING OPEN JAW WRENCHES;HEYCO;HY-00810004620;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
601;1988211;;;DOUBLE ENDED OPEN JAW WRENCHES 30X34 MM;HEYCO;HY-00350303482;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
602;2022820;;;CONVERTER FOR IMPACT SOCKET 1INCH;HEYCO;HY-06501002236;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
603;2002897;;;SOCKET 1/2 INCH;HEYCO;50600983;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
604;2002905;;;SOCKET 1/2 INCH;HEYCO;50602083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
605;2002913;;;SOCKET 1/2 INCH;HEYCO;HY-00050602283;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
606;2003044;;;PISTON RING COMPRESSORS;HEYCO;HY-01702000200;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
607;2006625;;;DEEP IMPACT SOCKET;HEYCO;HY-03800192136;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
608;2006633;;;DEEP IMPACT SOCKET;HEYCO;HY-03800192436;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
609;2006906;;;SINGLE ENDED RING WRENCHES;HEYCO;HY-00808003620;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
610;2008589;;;"EXTENTION BAR 1""";HEYCO;HY-00105050080;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
611;2017291;;;HEX.SOCKET;HEYCO;HY-00050310583;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
612;2017309;;;HEX.SOCKET;HEYCO;HY-00050310683;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
613;2019057;;;SOCKET WRENCH;HEYCO;HY-00100002980;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
