1793439;2002715;BATTERY, STORAGE N150 ;ALLMAKES;AM-N150HD;BINA PERTIWI, PT;EACH;Rp1.459.328,00;Rp1.459.328,00;Rp1.459.328,00;1;CWP
1793421;2002707;BATTERY, STORAGE 12V, 100A, 17PCS/CELL;ALLMAKES;AM-N100HD;BINA PERTIWI, PT;EACH;Rp900.912,00;Rp900.912,00;Rp900.912,00;1;CWP
1815059;2155778;BATTERY, STORAGE HEAVY DUTY N12;ALLMAKES;AM-N120HD;BINA PERTIWI, PT;EACH;Rp1.116.833,00;Rp1.116.833,00;Rp1.116.833,00;1;CWP
1793413;2002699;BATTERY, STORAGE N70, 12V, 70A, 13PCS/CE;ALLMAKES;AM-N70HD;BINA PERTIWI, PT;EACH;Rp673.594,00;Rp673.594,00;Rp673.594,00;1;CWP
1067875;2041812;"DIAPRAGHM PUMP 2""";GRACO   ;DF3525;BINA PERTIWI, PT;EACH;Rp18.917.015,00;Rp18.917.015,00;Rp18.917.015,00;2;CWP
1067867;2002616;"DIAPRAGM PUMP 1-1/2""";GRACO;DB3525;BINA PERTIWI, PT;EACH;Rp14.138.948,00;Rp14.138.948,00;Rp14.138.948,00;2;CWP
1067842;231721;"DIAPRAGM PUMP 1040, 1"" OIL TRANSFER";GRACO   ;647016;BINA PERTIWI, PT;EACH;Rp12.401.703,00;Rp12.401.703,00;Rp12.401.703,00;2;CWP
1987700;231717;DIAPRAGMA PUMP;ALLMAKES;D51277;BINA PERTIWI, PT;EACH;Rp10.992.823,00;Rp10.992.823,00;Rp10.992.823,00;2;CWP
1067784;2041796;FIRE BALL PUMP 50:1 (425);GRACO   ;205395;BINA PERTIWI, PT;ASSY;Rp38.154.949,00;Rp38.154.949,00;Rp38.154.949,00;2;CWP
1067776;233403;FIRE BALL PUMP 50:1 (325);GRACO   ;239888;BINA PERTIWI, PT;EACH;Rp14.256.253,00;Rp14.256.253,00;Rp14.256.253,00;2;CWP
1374065;2002624;GREASE PUMP;GRACO;247450;BINA PERTIWI, PT;ASSY;Rp45.627.090,00;Rp45.627.090,00;Rp45.627.090,00;2;CWP
1522325;231719;GREASE PUMP;GRACO   ;247443;BINA PERTIWI, PT;EACH;Rp45.221.840,00;Rp45.221.840,00;Rp45.221.840,00;2;CWP
1305275;233404;GREASE PUMP;GRACO   ;247457;BINA PERTIWI, PT;EACH;Rp67.200.951,00;Rp67.200.951,00;Rp67.200.951,00;2;CWP
262733;259449;"LED WORK LAMP; LED WORK LAMP";ALLMAKES;37-AX01-00;BINA PERTIWI, PT;EACH;Rp968.073,00;Rp968.073,00;Rp968.073,00;1;CWP
2002590;2000081;LED LAMP;ALLMAKES;MIL-RXP 2060;BINA PERTIWI, PT;EACH;Rp9.436.095,00;Rp9.436.095,00;Rp9.436.095,00;4;CWP
1934207;1966266;LED LAMP;ALLMAKES;AM-PL4X4FA;BINA PERTIWI, PT;EACH;Rp1.587.878,00;Rp1.587.878,00;Rp1.587.878,00;4;CWP
233305;233274;LED REAR COMBINATION LAMP LH;ALLMAKES;AM-AE04-498LH;BINA PERTIWI, PT;EACH;Rp1.804.406,00;Rp1.804.406,00;Rp1.804.406,00;1;CWP
